segundo,emocion_facial,emocion_texto,transcripcion,congruencia
34,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
35,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
36,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
37,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
38,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
39,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
40,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
41,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
42,disgust,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
43,disgust,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
44,disgust,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
45,disgust,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
46,disgust,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
47,sad,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
48,sad,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
49,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
50,sad,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
51,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
52,angry,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
53,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
54,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
55,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
56,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
57,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
58,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
59,happy,neutral,"is actually pretty simple. Think about something you've always wanted to add to your life and try it for the next 30 days. It turns out, 30 days is just about the right amount of time to add a new habit or subtract a habit, like watching the news from your life. There's a few things that I learned while doing these 30 day challenges. The first was, instead of the months flying by, forgotten, the time was much more memorable. This was part of a challenge I did to take a picture",INCONGRUENCIA
60,happy,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
61,happy,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
62,happy,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
63,happy,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
64,happy,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
65,happy,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
66,happy,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
67,sad,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
68,sad,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
69,sad,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
70,sad,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
71,neutral,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",Congruente
72,neutral,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",Congruente
73,sad,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
74,fear,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
75,fear,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
76,fear,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
77,angry,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
78,angry,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
79,angry,neutral,"every day for a month. I remember exactly where I was and what I was doing that day. I also noticed that as I started to do more and harder 30 day challenges, myself confidence grew. I went from desk dwelling computer nerd to the kind of guy who bikes to work for fun.",INCONGRUENCIA
80,angry,neutral,[Silencio],No aplicable
81,angry,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",INCONGRUENCIA
82,angry,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",INCONGRUENCIA
83,sad,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",INCONGRUENCIA
84,sad,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",INCONGRUENCIA
85,fear,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",Congruente
86,fear,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",Congruente
87,fear,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",Congruente
88,fear,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",Congruente
89,fear,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",Congruente
90,fear,fear,"Even last year, I ended up hiking up Mount Kilimanjaro, the highest mountain in Africa. I would never have been that adventurous before I started my 30 day challenges.",Congruente
91,fear,neutral,[Silencio],No aplicable
92,angry,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",INCONGRUENCIA
93,happy,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",INCONGRUENCIA
94,sad,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",INCONGRUENCIA
95,fear,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",INCONGRUENCIA
96,happy,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",INCONGRUENCIA
97,happy,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",INCONGRUENCIA
98,neutral,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",Congruente
99,neutral,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",Congruente
100,neutral,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",Congruente
101,angry,neutral,"I also figured out that if you really want something badly enough, you can do anything for 30 days. Have you ever wanted to write a novel?",INCONGRUENCIA
102,neutral,neutral,[Silencio],No aplicable
103,happy,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
104,happy,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
105,happy,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
106,happy,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
107,happy,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
108,happy,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
109,happy,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
110,happy,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
111,neutral,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",Congruente
112,neutral,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",Congruente
113,angry,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
114,happy,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",INCONGRUENCIA
115,neutral,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",Congruente
116,neutral,neutral,"Every November, tens of thousands of people try to write their own 50,000 word novel from scratch in 30 days. It turns out all you have to do is write 1,667 words a day for a month.",Congruente
117,angry,neutral,[Silencio],No aplicable
118,angry,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
119,angry,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
120,angry,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
121,angry,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
122,angry,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
123,angry,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
124,angry,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
125,neutral,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",Congruente
126,happy,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
127,sad,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
128,sad,neutral,"So I did. By the way, the secret is not to go to sleep until you've written your words for the day. You might be sleep deprived, but you'll finish your novel.",INCONGRUENCIA
129,happy,neutral,[Silencio],No aplicable
130,neutral,disgust,"Now, is my book the next great American novel? No, I wrote it in a month. It's awful!",INCONGRUENCIA
131,sad,disgust,"Now, is my book the next great American novel? No, I wrote it in a month. It's awful!",INCONGRUENCIA
132,sad,disgust,"Now, is my book the next great American novel? No, I wrote it in a month. It's awful!",INCONGRUENCIA
133,sad,disgust,"Now, is my book the next great American novel? No, I wrote it in a month. It's awful!",INCONGRUENCIA
134,fear,disgust,"Now, is my book the next great American novel? No, I wrote it in a month. It's awful!",INCONGRUENCIA
135,happy,disgust,"Now, is my book the next great American novel? No, I wrote it in a month. It's awful!",INCONGRUENCIA
136,angry,disgust,"Now, is my book the next great American novel? No, I wrote it in a month. It's awful!",INCONGRUENCIA
137,neutral,neutral,[Silencio],No aplicable
138,sad,neutral,[Silencio],No aplicable
139,neutral,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",Congruente
140,sad,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",INCONGRUENCIA
141,fear,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",INCONGRUENCIA
142,angry,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",INCONGRUENCIA
143,happy,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",INCONGRUENCIA
144,happy,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",INCONGRUENCIA
145,neutral,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",Congruente
146,happy,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",INCONGRUENCIA
147,happy,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",INCONGRUENCIA
148,happy,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",INCONGRUENCIA
149,fear,neutral,"But for the rest of my life, if I meet John Hodgman at a Ted Party, I don't have to say, I'm a computer scientist. No, no. If I want to, I can say, I'm a novelist.",INCONGRUENCIA
150,sad,neutral,[Silencio],No aplicable
151,angry,neutral,"So here's one last thing I'd like to mention. I learned that when I made small, sustainable changes, things I could keep doing, they were more likely to stick.",INCONGRUENCIA
152,sad,neutral,"So here's one last thing I'd like to mention. I learned that when I made small, sustainable changes, things I could keep doing, they were more likely to stick.",INCONGRUENCIA
153,neutral,neutral,"So here's one last thing I'd like to mention. I learned that when I made small, sustainable changes, things I could keep doing, they were more likely to stick.",Congruente
154,neutral,neutral,"So here's one last thing I'd like to mention. I learned that when I made small, sustainable changes, things I could keep doing, they were more likely to stick.",Congruente
155,angry,neutral,"So here's one last thing I'd like to mention. I learned that when I made small, sustainable changes, things I could keep doing, they were more likely to stick.",INCONGRUENCIA
156,angry,neutral,"So here's one last thing I'd like to mention. I learned that when I made small, sustainable changes, things I could keep doing, they were more likely to stick.",INCONGRUENCIA
157,angry,neutral,"So here's one last thing I'd like to mention. I learned that when I made small, sustainable changes, things I could keep doing, they were more likely to stick.",INCONGRUENCIA
158,angry,neutral,"So here's one last thing I'd like to mention. I learned that when I made small, sustainable changes, things I could keep doing, they were more likely to stick.",INCONGRUENCIA
159,angry,neutral,"So here's one last thing I'd like to mention. I learned that when I made small, sustainable changes, things I could keep doing, they were more likely to stick.",INCONGRUENCIA
